title,price,rating,oprice,brand
"Fire-Boltt Ring Bluetooth Calling Smartwatch with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces (Blue)  ","2,299",4.1,"₹2,299",Fire-Boltt
Tropical Waters Analog Green Dial Women's Watch-NM68010SM07 / NL68010SM07  ,"1,504",4.4,"₹1,504",Fastrack
"Noise ColorFit Pro 4 Max 1.8"" Biggest Display, Bluetooth Calling Smart Watch, Built.in Alexa, 100 Sports Modes, Detection, Health & Productivity Suite (Jet Black)  ","3,999",4.0,"₹3,999",Noise
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240 * 284 Pixel High Resolution  ","1,799",4.3,"₹1,799",Fire-Boltt
Chronograph Design Multi Analog Combo Watches for Men and Watches for Boys Pack of 3  ,355,3.5,₹355,Acnos
Analog Silver Dial Children's Watch-NLC4006PP02/NPC4006PP02  ,775,4.5,₹775,Zoop
Analogue White Slim Dial Luxurious Blue/Red Fabric Strap Fashion Men's Wrist Watch  ,269,3.7,₹269,FRIEDRICH
"Dicto T-500 S8 Series Smart Watch Sleep Monitor, Distance Tracker, Calendaring, Sedentary Reminder, Text Messaging, Pedometer, Calorie Tracker, Heart Rate Monitor Smartwatch (Black) Pack of 1  ",599,2.2,₹599,Dicto
Brand A Army Shockproof Waterproof Digital Sports Black Sunglass with Black Baseball Cap Watch for Mens Kids Sports Watch with Cap for Boys - Military Army Watch for Men  ,321,3.7,₹321,SELLORIA
Analog White Dial Men's Watch-TW000U933  ,"1,598",4.1,"₹1,598",TIMEX
"Fire-Boltt Ring Bluetooth Calling Smartwatch with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces (Blue)  ","2,299",4.1,"₹2,299",Fire-Boltt
Super Fibre Digital Grey Dial Men's Watch-NL87011PP04/NP87011PP04  ,600,4.2,₹600,Sonata
Analogue Watch for Men and Boys  ,249,3.6,₹249,SWADESI STUFF
Essentials Analog Silver Dial Men's Watch NM77082SL01W/NN77082SL01W  ,799,4.3,₹799,Sonata
Digital Boy's & Men's Watch (Multicolour Dial Multi Colored Strap)  ,231,3.9,₹231,ZUPERIA
Karishma Analog Blue Dial Men's Watch-NL1774SM01/NP1774SM01  ,"2,308",4.2,"₹2,308",Titan
The Watch (Red Book 1)  ,446,4.5,₹446,Amanda Witt
Fastrack Reflex Vox 2 Smart Watch with BT Calling Large 1.8 Bright HD Display Music Storage AI Voice 50+ Sports Modes 100+ Watchfaces BP Monitor 24x7 HRM SpO2 Upto 5 Day Battery IP68 (Black)  ,"4,995",3.6,"₹4,995",Fastrack
Analog Dial Women's Watch  ,"2,580",4.1,"₹2,580",French Connection
"Noise ColorFit Pro 4 Max 1.8"" Biggest Display, Bluetooth Calling Smart Watch, Built.in Alexa, 100 Sports Modes, Detection, Health & Productivity Suite (Jet Black)  ","3,999",4.0,"₹3,999",Noise
Analog Black Dial Men's Watch-3089NM03  ,"2,641",4.2,"₹2,641",Fastrack
Fundamentals Analog Grey Dial Women's Watch-NL68010SM04/NP68010SM04  ,"1,499",4.3,"₹1,499",Fastrack
"pTron Force X12S Bluetooth Calling Smartwatch, 1.85"" Full Touch HD Display, Functional Crown, Real Heart Rate Monitor, SpO2, WatchFaces, 5 Days Battery Life, Fitness Trackers & IP68 Waterproof (Black)  ","1,449",3.7,"₹1,449",pTron
Analog Boy's & Men's Watch (Blue Dial Blue Colored Strap)  ,,3.6,,REDUX
Analog Black Dial Men's Watch-TW000U934  ,"3,495",4.2,"₹3,495",TIMEX
Black Dial Date Display Analogue Watch for Men and Boys  ,249,3.8,₹249,SWADESI STUFF
Fundamentals Analog Brown Dial Men's Watch-NL38051SL02  ,"1,550",4.2,"₹1,550",Fastrack
"Digital Watch for Men's & Boy's (Multicolored Silver Dial, Black Colored Strap)  ",419,3.8,₹419,Emartos
Analog White Dial Men's Watch NM7987YM05W/NN7987YM05W/NP7987YM05W  ,999,4.2,₹999,Sonata
Analogue White Slim Dial Luxurious Blue/Red Fabric Strap Fashion Men's Wrist Watch  ,269,3.7,₹269,FRIEDRICH
"Maxima Max Pro Sky 1.85"" HD Smart Watch with Bluetooth Calling, AI Voice Assistant, Add Personalised QR, Always ON Display for 30 Min, HR/SpO2/Stress/Sleep Monitor, 550Nits Brightness (Midnight Black)  ","1,899",5.0,"₹1,899",Maxima
"Reflex Curv Unisex Activity Tracker Smart Watch, 2.5D Curved Display, AI-Enabled Coach, Multiple Sports Mode, Complete Health Suite with Temperature Monitor Variants  ","2,495",3.7,"₹2,495",Fastrack
Analog-Digital Gold Round Dial Men's Casual Watch-77070PP08  ,"2,899",3.7,"₹2,899",SF
Magnetic Charging Cable Compatible with Dizo Watch 2/Watch 2 Sport/Dizo Watch S/Dizo Watch D (Watch 2/Watch D/S)  ,299,5.0,₹299,ZOVC
Analog Gold Dial Men's Watch-43234CMGY  ,"1,349",No reviews,"₹1,349",Maxima
"APCSA Smart Watch for Men & Women Latest Bluetooth 1.3"" LED with Daily Activity Tracker, Heart Rate Sensor, BP Monitor, Sports Gym Watch for All Boys & Girls - Pink  ",599,3.4,₹599,APCSA
Black Round Diamond Dial with Latest Generation Purple & Rosegold Magnet Belt Analogue Watch for Women Pack of - 2 (DM-PURPLE-ROSEGOLD05)  ,345,3.8,₹345,Acnos
Xtreme Gear Analog-Digital Grey Round Dial Men's Sport Watch-77070PP07  ,"2,899",4.1,"₹2,899",SF
Analog White Dial Men's Watch-TW000U933  ,"1,598",4.1,"₹1,598",TIMEX
Analog Champagne Dial Stainless Steel Strap Men's Watch - 1650YM06  ,"2,995",4.3,"₹2,995",Titan
Zaha New Generation Digital Square Watch for Boys & Girls & Kids (Pink)  ,110,1.5,₹110,Generic
